Journal Date,Reference Number,Journal Number Prefix,Journal Number Suffix,Notes,Journal Type,Currency,Account,Description,Contact Name,Debit,Credit,Tax Name,Tax Type,Tax Percentage,Exemption Code,Tax Authority,Item Tax Exemption Reason,Project Name
07/05/2022,,,12,Payments,both,USD,Capital One,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,78.53,,,,,,,,
07/05/2022,,,12,Payments,both,USD,Uncategorized Revenue - Mercury 3320,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,,78.53,,,,,,,
06/20/2022,,,13,Payments,both,USD,Capital One,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,76.94,,,,,,,,
06/20/2022,,,13,Payments,both,USD,Uncategorized Revenue - Mercury 3320,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,,76.94,,,,,,,
06/07/2022,,,14,Payments,both,USD,Capital One,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,790.0,,,,,,,,
06/07/2022,,,14,Payments,both,USD,Uncategorized Revenue - Mercury 3320,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,,790.0,,,,,,,
06/07/2022,,,15,Payments,both,USD,Capital One,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,1176.26,,,,,,,,
06/07/2022,,,15,Payments,both,USD,Uncategorized Revenue - Mercury 3320,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,,1176.26,,,,,,,
04/22/2022,,,16,Payments,both,USD,Capital One,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,520.55,,,,,,,,
04/22/2022,,,16,Payments,both,USD,Uncategorized Revenue - Mercury 3320,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,,520.55,,,,,,,
04/11/2022,,,17,Payments,both,USD,Capital One,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,427.61,,,,,,,,
04/11/2022,,,17,Payments,both,USD,Uncategorized Revenue - Mercury 3320,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,,427.61,,,,,,,
03/24/2022,,,18,Payments,both,USD,Capital One,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,1192.98,,,,,,,,
03/24/2022,,,18,Payments,both,USD,Uncategorized Revenue - Mercury 3320,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,,1192.98,,,,,,,
02/28/2022,,,19,Payments,both,USD,Capital One,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,1453.68,,,,,,,,
02/28/2022,,,19,Payments,both,USD,Uncategorized Revenue - Mercury 3320,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,,1453.68,,,,,,,
02/07/2022,,,20,Payments,both,USD,Capital One,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,772.85,,,,,,,,
02/07/2022,,,20,Payments,both,USD,Uncategorized Revenue - Mercury 3320,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,,772.85,,,,,,,
01/31/2022,,,21,Payments,both,USD,Capital One,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,366.95,,,,,,,,
01/31/2022,,,21,Payments,both,USD,Uncategorized Revenue - Mercury 3320,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,,366.95,,,,,,,
01/12/2022,,,22,Payments,both,USD,Capital One,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,837.52,,,,,,,,
01/12/2022,,,22,Payments,both,USD,Uncategorized Revenue - Mercury 3320,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,,837.52,,,,,,,
12/20/2022,,,23,Payments,both,USD,Contractor Expenses,This is a payment to a Vendor Upwork,Upwork,994.0,,,,,,,,
12/20/2022,,,23,Payments,both,USD, Accounts Payable - Upwork,This is a payment to a Vendor Upwork,Upwork,,994.0,,,,,,,
12/20/2022,,,24,Payments,both,USD,Administrative Expenses,This is a payment to a Vendor Code Academy,Code Academy,149.94,,,,,,,,
12/20/2022,,,24,Payments,both,USD,Capital One,This is a payment to a Vendor Code Academy,Code Academy,,149.94,,,,,,,
12/17/2022,,,25,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,60.98,,,,,,,,
12/17/2022,,,25,Payments,both,USD,Capital One,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,,60.98,,,,,,,
11/17/2022,,,26,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,54.7,,,,,,,,
11/17/2022,,,26,Payments,both,USD,Capital One,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,,54.7,,,,,,,
10/17/2022,,,27,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,50.66,,,,,,,,
10/17/2022,,,27,Payments,both,USD,Capital One,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,,50.66,,,,,,,
10/01/2022,,,28,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,15.46,,,,,,,,
10/01/2022,,,28,Payments,both,USD,Capital One,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,,15.46,,,,,,,
09/17/2022,,,29,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,84.48,,,,,,,,
09/17/2022,,,29,Payments,both,USD,Capital One,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,,84.48,,,,,,,
08/17/2022,,,30,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,70.35,,,,,,,,
08/17/2022,,,30,Payments,both,USD,Capital One,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,,70.35,,,,,,,
07/18/2022,,,31,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,56.82,,,,,,,,
07/18/2022,,,31,Payments,both,USD,Capital One,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,,56.82,,,,,,,
06/17/2022,,,32,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,45.5,,,,,,,,
06/17/2022,,,32,Payments,both,USD,Capital One,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,,45.5,,,,,,,
05/17/2022,,,33,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,35.7,,,,,,,,
05/17/2022,,,33,Payments,both,USD,Capital One,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,,35.7,,,,,,,
04/18/2022,,,34,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,25.28,,,,,,,,
04/18/2022,,,34,Payments,both,USD,Capital One,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,,25.28,,,,,,,
03/17/2022,,,35,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,20.95,,,,,,,,
03/17/2022,,,35,Payments,both,USD,Capital One,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,,20.95,,,,,,,
02/17/2022,,,36,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,20.95,,,,,,,,
02/17/2022,,,36,Payments,both,USD,Capital One,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,,20.95,,,,,,,
01/17/2022,,,37,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,20.95,,,,,,,,
01/17/2022,,,37,Payments,both,USD,Capital One,This is a payment to a Vendor Mailjet Inc.,Mailjet Inc.,,20.95,,,,,,,
12/13/2022,,,38,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Multi Login,Multi Login,104.76,,,,,,,,
12/13/2022,,,38,Payments,both,USD,Capital One,This is a payment to a Vendor Multi Login,Multi Login,,104.76,,,,,,,
11/14/2022,,,39,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Multi Login,Multi Login,102.62,,,,,,,,
11/14/2022,,,39,Payments,both,USD,Capital One,This is a payment to a Vendor Multi Login,Multi Login,,102.62,,,,,,,
10/13/2022,,,40,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Multi Login,Multi Login,96.39,,,,,,,,
10/13/2022,,,40,Payments,both,USD,Capital One,This is a payment to a Vendor Multi Login,Multi Login,,96.39,,,,,,,
09/14/2022,,,41,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Multi Login,Multi Login,50.49,,,,,,,,
09/14/2022,,,41,Payments,both,USD,Capital One,This is a payment to a Vendor Multi Login,Multi Login,,50.49,,,,,,,
08/19/2022,,,42,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Multi Login,Multi Login,101.03,,,,,,,,
08/19/2022,,,42,Payments,both,USD,Capital One,This is a payment to a Vendor Multi Login,Multi Login,,101.03,,,,,,,
12/13/2022,,,43,Payments,both,USD,Contractor Expenses,This is a payment to a Vendor Upwork,Upwork,336.0,,,,,,,,
12/13/2022,,,43,Payments,both,USD, Accounts Payable - Upwork,This is a payment to a Vendor Upwork,Upwork,,336.0,,,,,,,
12/13/2022,,,44,Payments,both,USD,Hosting Expenses,This is a payment to a Vendor Cloudflare,Cloudflare,20.0,,,,,,,,
12/13/2022,,,44,Payments,both,USD,Capital One,This is a payment to a Vendor Cloudflare,Cloudflare,,20.0,,,,,,,
11/14/2022,,,45,Payments,both,USD,Hosting Expenses,This is a payment to a Vendor Cloudflare,Cloudflare,20.0,,,,,,,,
11/14/2022,,,45,Payments,both,USD,Capital One,This is a payment to a Vendor Cloudflare,Cloudflare,,20.0,,,,,,,
10/13/2022,,,46,Payments,both,USD,Hosting Expenses,This is a payment to a Vendor Cloudflare,Cloudflare,20.0,,,,,,,,
10/13/2022,,,46,Payments,both,USD,Capital One,This is a payment to a Vendor Cloudflare,Cloudflare,,20.0,,,,,,,
09/13/2022,,,47,Payments,both,USD,Hosting Expenses,This is a payment to a Vendor Cloudflare,Cloudflare,20.0,,,,,,,,
09/13/2022,,,47,Payments,both,USD,Capital One,This is a payment to a Vendor Cloudflare,Cloudflare,,20.0,,,,,,,
08/13/2022,,,48,Payments,both,USD,Hosting Expenses,This is a payment to a Vendor Cloudflare,Cloudflare,20.0,,,,,,,,
08/13/2022,,,48,Payments,both,USD,Capital One,This is a payment to a Vendor Cloudflare,Cloudflare,,20.0,,,,,,,
07/13/2022,,,49,Payments,both,USD,Hosting Expenses,This is a payment to a Vendor Cloudflare,Cloudflare,20.0,,,,,,,,
07/13/2022,,,49,Payments,both,USD,Capital One,This is a payment to a Vendor Cloudflare,Cloudflare,,20.0,,,,,,,
06/13/2022,,,50,Payments,both,USD,Hosting Expenses,This is a payment to a Vendor Cloudflare,Cloudflare,20.0,,,,,,,,
06/13/2022,,,50,Payments,both,USD,Capital One,This is a payment to a Vendor Cloudflare,Cloudflare,,20.0,,,,,,,
05/13/2022,,,51,Payments,both,USD,Hosting Expenses,This is a payment to a Vendor Cloudflare,Cloudflare,20.0,,,,,,,,
05/13/2022,,,51,Payments,both,USD,Capital One,This is a payment to a Vendor Cloudflare,Cloudflare,,20.0,,,,,,,
04/13/2022,,,52,Payments,both,USD,Hosting Expenses,This is a payment to a Vendor Cloudflare,Cloudflare,20.0,,,,,,,,
04/13/2022,,,52,Payments,both,USD,Capital One,This is a payment to a Vendor Cloudflare,Cloudflare,,20.0,,,,,,,
03/14/2022,,,53,Payments,both,USD,Hosting Expenses,This is a payment to a Vendor Cloudflare,Cloudflare,20.0,,,,,,,,
03/14/2022,,,53,Payments,both,USD,Capital One,This is a payment to a Vendor Cloudflare,Cloudflare,,20.0,,,,,,,
02/14/2022,,,54,Payments,both,USD,Hosting Expenses,This is a payment to a Vendor Cloudflare,Cloudflare,20.0,,,,,,,,
02/14/2022,,,54,Payments,both,USD,Capital One,This is a payment to a Vendor Cloudflare,Cloudflare,,20.0,,,,,,,
01/13/2022,,,55,Payments,both,USD,Hosting Expenses,This is a payment to a Vendor Cloudflare,Cloudflare,20.0,,,,,,,,
01/13/2022,,,55,Payments,both,USD,Capital One,This is a payment to a Vendor Cloudflare,Cloudflare,,20.0,,,,,,,
12/10/2022,,,56,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Loom,Loom,11.0,,,,,,,,
12/10/2022,,,56,Payments,both,USD,Capital One,This is a payment to a Vendor Loom,Loom,,11.0,,,,,,,
12/07/2022,,,57,Payments,both,USD,Contractor Expenses,This is a payment to a Vendor Payoneer,Payoneer,1668.8,,,,,,,,
12/07/2022,,,57,Payments,both,USD,Capital One,This is a payment to a Vendor Payoneer,Payoneer,,1668.8,,,,,,,
12/07/2022,,,58,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Calendly,Calendly,10.0,,,,,,,,
12/07/2022,,,58,Payments,both,USD,Capital One,This is a payment to a Vendor Calendly,Calendly,,10.0,,,,,,,
11/07/2022,,,59,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Calendly,Calendly,10.0,,,,,,,,
11/07/2022,,,59,Payments,both,USD,Capital One,This is a payment to a Vendor Calendly,Calendly,,10.0,,,,,,,
10/07/2022,,,60,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Calendly,Calendly,10.0,,,,,,,,
10/07/2022,,,60,Payments,both,USD,Capital One,This is a payment to a Vendor Calendly,Calendly,,10.0,,,,,,,
09/07/2022,,,61,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Calendly,Calendly,10.0,,,,,,,,
09/07/2022,,,61,Payments,both,USD,Capital One,This is a payment to a Vendor Calendly,Calendly,,10.0,,,,,,,
08/08/2022,,,62,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Calendly,Calendly,10.0,,,,,,,,
08/08/2022,,,62,Payments,both,USD,Capital One,This is a payment to a Vendor Calendly,Calendly,,10.0,,,,,,,
07/07/2022,,,63,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Calendly,Calendly,10.0,,,,,,,,
07/07/2022,,,63,Payments,both,USD,Capital One,This is a payment to a Vendor Calendly,Calendly,,10.0,,,,,,,
06/07/2022,,,64,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Calendly,Calendly,10.0,,,,,,,,
06/07/2022,,,64,Payments,both,USD,Capital One,This is a payment to a Vendor Calendly,Calendly,,10.0,,,,,,,
05/07/2022,,,65,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Calendly,Calendly,10.0,,,,,,,,
05/07/2022,,,65,Payments,both,USD,Capital One,This is a payment to a Vendor Calendly,Calendly,,10.0,,,,,,,
04/07/2022,,,66,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Calendly,Calendly,10.0,,,,,,,,
04/07/2022,,,66,Payments,both,USD,Capital One,This is a payment to a Vendor Calendly,Calendly,,10.0,,,,,,,
03/07/2022,,,67,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Calendly,Calendly,10.0,,,,,,,,
03/07/2022,,,67,Payments,both,USD,Capital One,This is a payment to a Vendor Calendly,Calendly,,10.0,,,,,,,
02/07/2022,,,68,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Calendly,Calendly,10.0,,,,,,,,
02/07/2022,,,68,Payments,both,USD,Capital One,This is a payment to a Vendor Calendly,Calendly,,10.0,,,,,,,
01/07/2022,,,69,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Calendly,Calendly,10.0,,,,,,,,
01/07/2022,,,69,Payments,both,USD,Capital One,This is a payment to a Vendor Calendly,Calendly,,10.0,,,,,,,
12/03/2022,,,70,Payments,both,USD,Hosting Expenses,This is a payment to a Vendor Amazon Web Service,Amazon Web Service,1098.47,,,,,,,,
12/03/2022,,,70,Payments,both,USD,Capital One,This is a payment to a Vendor Amazon Web Service,Amazon Web Service,,1098.47,,,,,,,
11/03/2022,,,71,Payments,both,USD,Hosting Expenses,This is a payment to a Vendor Amazon Web Service,Amazon Web Service,936.52,,,,,,,,
11/03/2022,,,71,Payments,both,USD,Capital One,This is a payment to a Vendor Amazon Web Service,Amazon Web Service,,936.52,,,,,,,
10/03/2022,,,72,Payments,both,USD,Hosting Expenses,This is a payment to a Vendor Amazon Web Service,Amazon Web Service,1053.44,,,,,,,,
10/03/2022,,,72,Payments,both,USD,Capital One,This is a payment to a Vendor Amazon Web Service,Amazon Web Service,,1053.44,,,,,,,
09/05/2022,,,73,Payments,both,USD,Hosting Expenses,This is a payment to a Vendor Amazon Web Service,Amazon Web Service,1064.01,,,,,,,,
09/05/2022,,,73,Payments,both,USD,Capital One,This is a payment to a Vendor Amazon Web Service,Amazon Web Service,,1064.01,,,,,,,
08/03/2022,,,74,Payments,both,USD,Hosting Expenses,This is a payment to a Vendor Amazon Web Service,Amazon Web Service,588.58,,,,,,,,
08/03/2022,,,74,Payments,both,USD,Capital One,This is a payment to a Vendor Amazon Web Service,Amazon Web Service,,588.58,,,,,,,
02/03/2022,,,75,Payments,both,USD,Hosting Expenses,This is a payment to a Vendor Amazon Web Service,Amazon Web Service,667.46,,,,,,,,
02/03/2022,,,75,Payments,both,USD,Capital One,This is a payment to a Vendor Amazon Web Service,Amazon Web Service,,667.46,,,,,,,
01/03/2022,,,76,Payments,both,USD,Hosting Expenses,This is a payment to a Vendor Amazon Web Service,Amazon Web Service,589.76,,,,,,,,
01/03/2022,,,76,Payments,both,USD,Capital One,This is a payment to a Vendor Amazon Web Service,Amazon Web Service,,589.76,,,,,,,
12/02/2022,,,77,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,7.24,,,,,,,,
12/02/2022,,,77,Payments,both,USD,Capital One,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,,7.24,,,,,,,
11/02/2022,,,78,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,4.83,,,,,,,,
11/02/2022,,,78,Payments,both,USD,Capital One,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,,4.83,,,,,,,
10/03/2022,,,79,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,3.15,,,,,,,,
10/03/2022,,,79,Payments,both,USD,Capital One,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,,3.15,,,,,,,
09/02/2022,,,80,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,4.01,,,,,,,,
09/02/2022,,,80,Payments,both,USD,Capital One,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,,4.01,,,,,,,
08/02/2022,,,81,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,5.72,,,,,,,,
08/02/2022,,,81,Payments,both,USD,Capital One,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,,5.72,,,,,,,
07/02/2022,,,82,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,4.28,,,,,,,,
07/02/2022,,,82,Payments,both,USD,Capital One,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,,4.28,,,,,,,
06/02/2022,,,83,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,3.66,,,,,,,,
06/02/2022,,,83,Payments,both,USD,Capital One,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,,3.66,,,,,,,
05/02/2022,,,84,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,4.67,,,,,,,,
05/02/2022,,,84,Payments,both,USD,Capital One,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,,4.67,,,,,,,
04/02/2022,,,85,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,6.5,,,,,,,,
04/02/2022,,,85,Payments,both,USD,Capital One,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,,6.5,,,,,,,
02/02/2022,,,86,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,3.93,,,,,,,,
02/02/2022,,,86,Payments,both,USD,Capital One,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,,3.93,,,,,,,
01/03/2022,,,87,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,1.58,,,,,,,,
01/03/2022,,,87,Payments,both,USD,Capital One,This is a payment to a Vendor Mailgun Tecnologies,Mailgun Tecnologies,,1.58,,,,,,,
12/02/2022,,,88,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor PWP Privacy,PWP Privacy,10.0,,,,,,,,
12/02/2022,,,88,Payments,both,USD,Capital One,This is a payment to a Vendor PWP Privacy,PWP Privacy,,10.0,,,,,,,
11/02/2022,,,89,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor PWP Privacy,PWP Privacy,10.0,,,,,,,,
11/02/2022,,,89,Payments,both,USD,Capital One,This is a payment to a Vendor PWP Privacy,PWP Privacy,,10.0,,,,,,,
10/03/2022,,,90,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor PWP Privacy,PWP Privacy,10.0,,,,,,,,
10/03/2022,,,90,Payments,both,USD,Capital One,This is a payment to a Vendor PWP Privacy,PWP Privacy,,10.0,,,,,,,
09/02/2022,,,91,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor PWP Privacy,PWP Privacy,10.0,,,,,,,,
09/02/2022,,,91,Payments,both,USD,Capital One,This is a payment to a Vendor PWP Privacy,PWP Privacy,,10.0,,,,,,,
08/02/2022,,,92,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor PWP Privacy,PWP Privacy,10.0,,,,,,,,
08/02/2022,,,92,Payments,both,USD,Capital One,This is a payment to a Vendor PWP Privacy,PWP Privacy,,10.0,,,,,,,
07/02/2022,,,93,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor PWP Privacy,PWP Privacy,10.0,,,,,,,,
07/02/2022,,,93,Payments,both,USD,Capital One,This is a payment to a Vendor PWP Privacy,PWP Privacy,,10.0,,,,,,,
06/02/2022,,,94,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor PWP Privacy,PWP Privacy,10.0,,,,,,,,
06/02/2022,,,94,Payments,both,USD,Capital One,This is a payment to a Vendor PWP Privacy,PWP Privacy,,10.0,,,,,,,
05/02/2022,,,95,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor PWP Privacy,PWP Privacy,10.0,,,,,,,,
05/02/2022,,,95,Payments,both,USD,Capital One,This is a payment to a Vendor PWP Privacy,PWP Privacy,,10.0,,,,,,,
04/02/2022,,,96,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor PWP Privacy,PWP Privacy,10.0,,,,,,,,
04/02/2022,,,96,Payments,both,USD,Capital One,This is a payment to a Vendor PWP Privacy,PWP Privacy,,10.0,,,,,,,
03/02/2022,,,97,Payments,both,USD,Marketing Software Expenses,This is a payment to a Vendor PWP Privacy,PWP Privacy,10.0,,,,,,,,
03/02/2022,,,97,Payments,both,USD,Capital One,This is a payment to a Vendor PWP Privacy,PWP Privacy,,10.0,,,,,,,
12/02/2022,,,98,Payments,both,USD,Back Office Software Expense,This is a payment to a Vendor Google,Google,24.0,,,,,,,,
12/02/2022,,,98,Payments,both,USD,Capital One,This is a payment to a Vendor Google,Google,,24.0,,,,,,,
10/03/2022,,,99,Payments,both,USD,Back Office Software Expense,This is a payment to a Vendor Google,Google,24.0,,,,,,,,
10/03/2022,,,99,Payments,both,USD,Capital One,This is a payment to a Vendor Google,Google,,24.0,,,,,,,
09/02/2022,,,100,Payments,both,USD,Back Office Software Expense,This is a payment to a Vendor Google,Google,24.0,,,,,,,,
09/02/2022,,,100,Payments,both,USD,Capital One,This is a payment to a Vendor Google,Google,,24.0,,,,,,,
08/02/2022,,,101,Payments,both,USD,Back Office Software Expense,This is a payment to a Vendor Google,Google,23.99,,,,,,,,
